CgST,CgST,lpg0028,lpg0078,lpg0116,lpg0212,lpg0287,lpg0330,lpg0356,lpg0432,lpg0461,lpg0513,lpg0577,lpg0656,lpg0712,lpg0785,lpg0840,lpg0888,lpg0956,lpg1178,lpg1206,lpg1283,lpg1340,lpg1398,lpg1452,lpg1511,lpg1566,lpg1636,lpg1682,lpg1737,lpg1782,lpg1830,lpg1882,lpg1994,lpg2039,lpg2175,lpg2231,lpg2280,lpg2339,lpg2404,lpg2461,lpg2516,lpg2577,lpg2622,lpg2698,lpg2743,lpg2795,lpg2827,lpg2869,lpg2933,lpg2999
60,60,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,4.0,7.0,35.0,17.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,2.0,9.0,18.0,27.0,18.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
61,61,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,17.0,7.0,6.0,7.0,33.0,3.0,6.0,4.0,5.0,2.0,10.0,7.0,2.0,9.0,11.0,3.0,2.0,14.0,18.0,5.0,4.0,18.0,4.0,4.0,5.0,7.0,27.0,3.0,26.0,3.0,39.0,35.0,7.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
62,62,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,39.0,6.0,26.0,17.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,2.0,9.0,18.0,27.0,18.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
63,63,33.0,48.0,44.0,31.0,10.0,3.0,18.0,29.0,11.0,46.0,24.0,43.0,2.0,43.0,14.0,1.0,20.0,10.0,4.0,8.0,32.0,52.0,21.0,17.0,32.0,22.0,10.0,14.0,13.0,5.0,1.0,21.0,28.0,10.0,36.0,10.0,7.0,37.0,15.0,10.0,10.0,23.0,3.0,8.0,16.0,31.0,22.0,21.0,20.0
64,64,16.0,15.0,32.0,42.0,9.0,10.0,5.0,24.0,5.0,37.0,17.0,55.0,5.0,32.0,2.0,8.0,12.0,21.0,10.0,6.0,40.0,7.0,14.0,27.0,49.0,6.0,21.0,8.0,10.0,44.0,7.0,5.0,5.0,6.0,3.0,30.0,9.0,22.0,9.0,27.0,45.0,9.0,13.0,6.0,18.0,10.0,13.0,14.0,3.0
65,65,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,4.0,3.0,35.0,11.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
66,66,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,35.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,23.0,4.0,17.0,51.0,22.0,49.0,13.0
67,67,5.0,29.0,22.0,47.0,4.0,4.0,9.0,11.0,17.0,30.0,29.0,2.0,11.0,30.0,7.0,4.0,11.0,19.0,8.0,1.0,7.0,25.0,25.0,24.0,53.0,29.0,46.0,16.0,18.0,28.0,26.0,28.0,35.0,19.0,31.0,23.0,31.0,11.0,39.0,18.0,49.0,64.0,40.0,3.0,29.0,36.0,14.0,55.0,42.0
68,68,21.0,39.0,33.0,55.0,9.0,10.0,5.0,12.0,6.0,35.0,17.0,31.0,20.0,13.0,21.0,46.0,12.0,7.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,1.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
69,69,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,31.0,5.0,4.0,11.0,,7.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
70,70,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,6.0,42.0,11.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
71,71,18.0,42.0,33.0,44.0,8.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,59.0,4.0,22.0,6.0,10.0,35.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,23.0,4.0,18.0,51.0,14.0,49.0,13.0
72,72,16.0,15.0,32.0,42.0,9.0,10.0,5.0,24.0,5.0,37.0,17.0,55.0,5.0,32.0,2.0,8.0,12.0,21.0,10.0,6.0,40.0,7.0,14.0,27.0,49.0,6.0,21.0,8.0,10.0,,7.0,5.0,5.0,6.0,3.0,30.0,9.0,22.0,9.0,27.0,45.0,9.0,13.0,6.0,18.0,10.0,13.0,14.0,3.0
73,73,16.0,15.0,32.0,42.0,9.0,10.0,5.0,24.0,5.0,37.0,17.0,55.0,5.0,32.0,2.0,8.0,12.0,21.0,10.0,6.0,40.0,7.0,14.0,27.0,49.0,6.0,21.0,8.0,10.0,44.0,25.0,5.0,5.0,6.0,3.0,30.0,9.0,22.0,9.0,27.0,45.0,9.0,13.0,6.0,18.0,10.0,13.0,14.0,3.0
74,74,16.0,15.0,32.0,42.0,9.0,10.0,5.0,24.0,5.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,49.0,4.0,22.0,6.0,10.0,44.0,25.0,4.0,5.0,18.0,4.0,30.0,30.0,36.0,9.0,27.0,45.0,15.0,13.0,6.0,18.0,10.0,13.0,14.0,3.0
75,75,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,37.0,19.0,39.0,4.0,3.0,7.0,3.0,30.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
76,76,23.0,47.0,44.0,37.0,10.0,23.0,,6.0,31.0,49.0,3.0,3.0,29.0,36.0,51.0,1.0,21.0,9.0,4.0,41.0,35.0,10.0,53.0,16.0,33.0,21.0,3.0,54.0,15.0,2.0,2.0,19.0,29.0,40.0,35.0,9.0,40.0,38.0,26.0,14.0,4.0,42.0,3.0,48.0,12.0,25.0,22.0,31.0,21.0
77,77,19.0,15.0,31.0,56.0,8.0,10.0,5.0,24.0,6.0,37.0,17.0,54.0,8.0,13.0,4.0,2.0,12.0,20.0,4.0,9.0,45.0,9.0,14.0,27.0,57.0,5.0,22.0,5.0,8.0,43.0,25.0,4.0,6.0,6.0,5.0,32.0,9.0,22.0,9.0,27.0,55.0,15.0,14.0,6.0,18.0,9.0,14.0,13.0,2.0
78,78,28.0,45.0,26.0,,33.0,14.0,15.0,21.0,27.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,22.0,11.0,20.0,46.0,37.0,48.0,23.0,19.0,20.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,41.0,21.0,7.0,34.0,19.0,36.0,17.0
79,79,16.0,15.0,32.0,42.0,9.0,10.0,5.0,24.0,5.0,37.0,17.0,55.0,5.0,32.0,2.0,8.0,12.0,21.0,10.0,6.0,40.0,7.0,14.0,27.0,50.0,6.0,22.0,8.0,10.0,44.0,25.0,5.0,5.0,6.0,3.0,30.0,9.0,22.0,9.0,27.0,45.0,9.0,13.0,6.0,17.0,10.0,13.0,48.0,3.0
80,80,23.0,47.0,39.0,29.0,10.0,23.0,18.0,22.0,30.0,48.0,22.0,42.0,2.0,16.0,3.0,45.0,20.0,10.0,4.0,37.0,33.0,54.0,20.0,18.0,25.0,21.0,17.0,13.0,15.0,21.0,14.0,25.0,27.0,9.0,35.0,9.0,40.0,38.0,26.0,11.0,4.0,26.0,28.0,23.0,12.0,29.0,24.0,31.0,22.0
81,81,21.0,39.0,33.0,40.0,10.0,24.0,,12.0,6.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,12.0,20.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,6.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
82,82,11.0,5.0,14.0,27.0,3.0,17.0,6.0,6.0,34.0,53.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,50.0,2.0,19.0,39.0,4.0,3.0,7.0,3.0,30.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
83,83,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,10.0,7.0,7.0,35.0,3.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
84,84,28.0,44.0,25.0,14.0,33.0,16.0,,21.0,28.0,27.0,26.0,40.0,15.0,19.0,33.0,10.0,35.0,11.0,20.0,46.0,36.0,50.0,46.0,19.0,20.0,15.0,15.0,15.0,12.0,33.0,16.0,32.0,30.0,14.0,38.0,6.0,45.0,34.0,33.0,20.0,25.0,46.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
85,85,38.0,57.0,6.0,60.0,16.0,31.0,3.0,38.0,45.0,7.0,14.0,17.0,5.0,43.0,27.0,52.0,23.0,32.0,35.0,14.0,17.0,63.0,17.0,21.0,17.0,44.0,8.0,23.0,16.0,15.0,34.0,49.0,14.0,12.0,20.0,41.0,14.0,43.0,20.0,33.0,13.0,27.0,19.0,18.0,8.0,20.0,2.0,58.0,8.0
86,86,19.0,14.0,29.0,45.0,8.0,19.0,5.0,24.0,23.0,32.0,17.0,54.0,18.0,13.0,20.0,10.0,12.0,21.0,10.0,44.0,45.0,8.0,14.0,32.0,60.0,33.0,26.0,1.0,10.0,43.0,25.0,5.0,5.0,16.0,45.0,31.0,9.0,22.0,43.0,26.0,52.0,17.0,23.0,6.0,19.0,56.0,14.0,13.0,13.0
87,87,11.0,5.0,14.0,50.0,10.0,9.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,8.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
88,88,21.0,39.0,33.0,32.0,9.0,10.0,5.0,12.0,6.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,12.0,20.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,6.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
89,89,25.0,51.0,42.0,28.0,10.0,3.0,20.0,22.0,11.0,51.0,22.0,42.0,2.0,39.0,3.0,45.0,21.0,10.0,4.0,37.0,33.0,54.0,20.0,18.0,25.0,21.0,17.0,13.0,15.0,21.0,14.0,25.0,27.0,9.0,35.0,9.0,40.0,38.0,26.0,11.0,4.0,26.0,28.0,23.0,12.0,25.0,24.0,31.0,4.0
90,90,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,52.0,6.0,32.0,5.0,7.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
91,91,5.0,12.0,24.0,41.0,23.0,4.0,8.0,10.0,17.0,30.0,7.0,4.0,8.0,33.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,13.0,23.0,53.0,10.0,14.0,17.0,18.0,4.0,18.0,26.0,10.0,7.0,2.0,22.0,8.0,12.0,4.0,17.0,28.0,12.0,11.0,3.0,11.0,7.0,4.0,11.0,11.0
92,92,9.0,14.0,34.0,54.0,8.0,10.0,5.0,24.0,6.0,36.0,17.0,54.0,5.0,39.0,6.0,1.0,10.0,20.0,10.0,7.0,45.0,8.0,14.0,27.0,59.0,4.0,24.0,6.0,10.0,43.0,23.0,4.0,5.0,6.0,6.0,32.0,9.0,22.0,9.0,27.0,53.0,9.0,12.0,4.0,17.0,9.0,14.0,13.0,2.0
93,93,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
94,94,26.0,3.0,41.0,35.0,7.0,3.0,18.0,6.0,11.0,53.0,3.0,3.0,14.0,36.0,12.0,10.0,7.0,10.0,4.0,41.0,5.0,10.0,3.0,19.0,2.0,24.0,3.0,12.0,14.0,31.0,2.0,23.0,2.0,2.0,13.0,8.0,7.0,41.0,7.0,14.0,11.0,2.0,3.0,11.0,25.0,15.0,24.0,3.0,20.0
95,95,20.0,40.0,32.0,59.0,35.0,10.0,5.0,23.0,23.0,33.0,17.0,31.0,33.0,39.0,47.0,5.0,12.0,17.0,10.0,44.0,44.0,33.0,26.0,31.0,56.0,22.0,34.0,20.0,9.0,7.0,25.0,4.0,37.0,19.0,6.0,30.0,9.0,14.0,9.0,21.0,54.0,15.0,23.0,37.0,34.0,55.0,14.0,53.0,2.0
96,96,5.0,12.0,24.0,41.0,23.0,4.0,8.0,10.0,17.0,30.0,7.0,4.0,3.0,35.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,13.0,23.0,53.0,10.0,14.0,17.0,18.0,4.0,18.0,26.0,10.0,7.0,2.0,22.0,8.0,12.0,28.0,17.0,28.0,12.0,11.0,3.0,11.0,7.0,4.0,11.0,11.0
97,97,19.0,15.0,31.0,56.0,8.0,10.0,5.0,24.0,6.0,37.0,17.0,54.0,36.0,13.0,4.0,2.0,12.0,20.0,4.0,9.0,45.0,9.0,14.0,27.0,57.0,5.0,22.0,5.0,8.0,43.0,25.0,4.0,6.0,6.0,5.0,32.0,9.0,22.0,9.0,27.0,55.0,15.0,14.0,6.0,18.0,9.0,14.0,13.0,2.0
98,98,19.0,33.0,32.0,56.0,8.0,10.0,5.0,24.0,23.0,42.0,45.0,7.0,18.0,14.0,21.0,46.0,12.0,20.0,2.0,44.0,45.0,8.0,14.0,32.0,58.0,34.0,42.0,40.0,8.0,43.0,25.0,4.0,6.0,6.0,6.0,30.0,32.0,12.0,39.0,21.0,56.0,15.0,36.0,41.0,18.0,49.0,14.0,44.0,2.0
99,99,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,35.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,8.0,21.0,52.0,17.0,23.0,4.0,17.0,51.0,14.0,49.0,13.0
100,100,9.0,14.0,34.0,54.0,9.0,10.0,5.0,24.0,6.0,36.0,17.0,54.0,5.0,39.0,33.0,3.0,12.0,20.0,10.0,7.0,45.0,8.0,14.0,27.0,59.0,4.0,24.0,6.0,10.0,43.0,23.0,4.0,5.0,6.0,6.0,32.0,9.0,10.0,44.0,27.0,53.0,9.0,12.0,4.0,17.0,9.0,14.0,56.0,2.0
101,101,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,12.0,42.0,15.0,7.0,9.0,24.0,9.0,5.0,2.0,,7.0,35.0,48.0,7.0,6.0,2.0,19.0,39.0,11.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,7.0,25.0,27.0,9.0,6.0,5.0,6.0,45.0,8.0,8.0,1.0
102,102,13.0,8.0,18.0,11.0,4.0,8.0,21.0,3.0,3.0,21.0,8.0,34.0,7.0,34.0,1.0,50.0,3.0,5.0,2.0,11.0,9.0,2.0,8.0,11.0,5.0,13.0,4.0,17.0,5.0,7.0,5.0,8.0,9.0,31.0,10.0,27.0,3.0,28.0,4.0,41.0,44.0,8.0,7.0,10.0,38.0,3.0,27.0,41.0,15.0
103,103,,15.0,,43.0,29.0,10.0,5.0,,,35.0,17.0,55.0,35.0,,,31.0,,,29.0,,22.0,34.0,45.0,29.0,50.0,6.0,21.0,,,44.0,25.0,,,,3.0,,35.0,,,,45.0,9.0,,6.0,,,,,
104,104,11.0,5.0,14.0,,3.0,9.0,7.0,4.0,4.0,34.0,8.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,48.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,8.0,3.0,3.0,34.0,2.0,20.0,2.0,41.0,27.0,9.0,6.0,5.0,38.0,8.0,8.0,8.0,47.0
105,105,23.0,47.0,39.0,29.0,10.0,23.0,18.0,22.0,30.0,48.0,22.0,42.0,2.0,16.0,3.0,45.0,20.0,10.0,4.0,37.0,33.0,54.0,20.0,18.0,26.0,21.0,17.0,13.0,15.0,21.0,14.0,25.0,27.0,9.0,35.0,9.0,40.0,38.0,26.0,11.0,4.0,26.0,28.0,23.0,12.0,29.0,24.0,31.0,22.0
106,106,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,10.0,12.0,20.0,10.0,6.0,45.0,37.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,44.0,25.0,5.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,23.0,4.0,17.0,51.0,19.0,53.0,13.0
107,107,18.0,6.0,20.0,52.0,5.0,7.0,21.0,33.0,3.0,21.0,7.0,7.0,20.0,36.0,3.0,10.0,3.0,2.0,18.0,11.0,50.0,22.0,10.0,32.0,39.0,27.0,5.0,17.0,5.0,36.0,7.0,36.0,48.0,39.0,10.0,27.0,4.0,28.0,3.0,41.0,37.0,14.0,16.0,2.0,2.0,43.0,14.0,41.0,45.0
108,108,33.0,49.0,44.0,31.0,10.0,3.0,18.0,29.0,11.0,46.0,24.0,43.0,2.0,43.0,14.0,1.0,20.0,10.0,4.0,8.0,32.0,52.0,21.0,17.0,32.0,22.0,10.0,14.0,13.0,5.0,1.0,21.0,28.0,10.0,36.0,10.0,7.0,37.0,15.0,10.0,10.0,23.0,3.0,8.0,16.0,31.0,22.0,21.0,20.0
109,109,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,45.0,33.0,44.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,21.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
110,110,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,10.0,7.0,7.0,35.0,3.0,14.0,4.0,5.0,2.0,10.0,7.0,2.0,9.0,11.0,3.0,2.0,14.0,18.0,18.0,7.0,18.0,8.0,4.0,7.0,7.0,27.0,3.0,26.0,3.0,39.0,35.0,7.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
111,111,31.0,1.0,51.0,21.0,6.0,6.0,13.0,18.0,7.0,12.0,11.0,7.0,6.0,36.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,2.0,9.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
112,112,31.0,1.0,51.0,21.0,6.0,6.0,13.0,17.0,7.0,12.0,11.0,7.0,6.0,36.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,2.0,9.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
113,113,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
114,114,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,37.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
115,115,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,36.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
116,116,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,38.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
117,117,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,39.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
118,118,31.0,,51.0,6.0,4.0,6.0,13.0,5.0,7.0,16.0,34.0,7.0,7.0,35.0,,,45.0,14.0,5.0,3.0,4.0,20.0,9.0,11.0,6.0,2.0,,,,7.0,19.0,34.0,32.0,7.0,7.0,27.0,6.0,26.0,3.0,39.0,21.0,52.0,,32.0,3.0,1.0,36.0,26.0,43.0
119,119,12.0,7.0,51.0,6.0,27.0,6.0,13.0,3.0,3.0,12.0,34.0,7.0,7.0,35.0,,,44.0,14.0,22.0,10.0,41.0,12.0,9.0,11.0,3.0,2.0,,18.0,,7.0,1.0,33.0,43.0,7.0,7.0,27.0,47.0,26.0,3.0,39.0,36.0,3.0,53.0,32.0,3.0,1.0,17.0,4.0,5.0
120,120,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,34.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,,13.0,6.0,,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,26.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
121,121,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,35.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
122,122,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
123,123,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,10.0,12.0,20.0,10.0,6.0,45.0,37.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,43.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,26.0,42.0,15.0,23.0,4.0,17.0,31.0,14.0,49.0,33.0
124,124,31.0,1.0,51.0,23.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,52.0,6.0,32.0,5.0,7.0,6.0,24.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,19.0,3.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,52.0,7.0,5.0,1.0,,4.0,5.0
125,125,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,52.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,24.0,32.0,7.0,35.0,8.0,25.0,6.0,2.0,19.0,39.0,4.0,3.0,7.0,3.0,3.0,34.0,26.0,20.0,41.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
126,126,26.0,10.0,41.0,34.0,10.0,3.0,16.0,6.0,8.0,50.0,3.0,46.0,2.0,35.0,3.0,3.0,10.0,8.0,4.0,8.0,5.0,10.0,11.0,15.0,32.0,8.0,20.0,18.0,17.0,2.0,14.0,2.0,2.0,2.0,4.0,16.0,7.0,37.0,8.0,14.0,6.0,6.0,3.0,8.0,24.0,2.0,23.0,16.0,4.0
127,127,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,7.0,39.0,25.0,48.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,21.0,17.0,15.0,15.0,5.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
128,128,23.0,50.0,46.0,24.0,20.0,20.0,10.0,27.0,35.0,43.0,23.0,36.0,12.0,45.0,15.0,3.0,20.0,6.0,25.0,30.0,30.0,46.0,19.0,14.0,29.0,20.0,18.0,11.0,13.0,22.0,16.0,17.0,23.0,11.0,34.0,13.0,38.0,24.0,29.0,12.0,2.0,24.0,27.0,22.0,23.0,27.0,16.0,24.0,19.0
